7d	reserved for non-commercial use	non-commercial
7e	Universal Non-Realtime	Universal Non-Realtime
7f	Universal Realtime	Universal Realtime
00 00 01	Time/Warner Interactive	Time/Warner Interactive
00 00 02	Advanced Gravis Comp.	Advanced Gravis Comp.
00 00 03	Media Vision	Media Vision
00 00 04	Dornes Research Group	Dornes Research Group
00 00 05	K-Muse	K-Muse
00 00 06	Stypher	Stypher
00 00 07	Digital Music Corp.	Digital Music Corp.
00 00 08	IOTA Systems	IOTA Systems
00 00 09	New England Digital	New England Digital
00 00 0a	Artisyn	Artisyn
00 00 0b	IVL Technologies	IVL Technologies
00 00 0c	Southern Music Systems	Southern Music Systems
00 00 0d	Lake Butler Sound Co.	Lake Butler Sound Co.
00 00 0e	Alesis Studio Electronics	Alesis Studio Electronics
00 00 0f	Sound Creation	Sound Creation
00 00 10	DOD Electronics Corp.	DOD Electronics Corp.
00 00 11	Studer-Editech	Studer-Editech
00 00 12	Sonus	Sonus
00 00 13	Temporal Acuity Products	Temporal Acuity Products
00 00 14	Perfect Fretworks	Perfect Fretworks
00 00 15	KAT Inc.	KAT Inc.
00 00 16	Opcode Systems	Opcode Systems
00 00 17	Rane Corporation	Rane Corporation
00 00 18	Anadi Electronique	Anadi Electronique
00 00 19	KMX	KMX
00 00 1a	Allen & Heath Brenell	Allen & Heath Brenell
00 00 1b	Peavey Electronics	Peavey Electronics
00 00 1c	360 System	360 System
00 00 1d	Spectrum Design	Spectrum Design
00 00 1e	Marquis Music	Marquis Music
00 00 1f	Zeta Systems	Zeta Systems
00 00 20	Axxes	Axxes
00 00 21	Orban	Orban
00 00 22	Indian Valley Mfg.	Indian Valley Mfg.
00 00 23	Triton	Triton
00 00 24	KTI	KTI
00 00 25	Breakaway Technologies	Breakaway Technologies
00 00 26	CAE Inc.	CAE Inc.
00 00 27	Harrison Systems Inc.	Harrison Systems Inc.
00 00 28	Future Lab/Mark Kuo	Future Lab/Mark Kuo
00 00 29	Rocktron Corporation	Rocktron Corporation
00 00 2a	PianoDisc	PianoDisc
00 00 2b	Cannon Research Group	Cannon Research Group
00 00 2d	Rodgers Instrument Corp.	Rodgers Instrument Corp.
00 00 2e	Blue Sky Logic	Blue Sky Logic
00 00 2f	Encore Electronics	Encore Electronics
00 00 30	Uptown	Uptown
00 00 31	Voce	Voce
00 00 32	CTI Audio	CTI Audio
00 00 33	S & S Research	S & S Research
00 00 34	Broderbund Software	Broderbund Software
00 00 35	Allen Organ Co.	Allen Organ Co.
00 00 37	Music Quest	Music Quest
00 00 38	Aphex	Aphex
00 00 39	Gallien Krueger	Gallien Krueger
00 00 3a	IBM	IBM
00 00 3b	Mark of the Unicorn	Mark of the Unicorn
00 00 3c	Hotz Instruments	Hotz Instruments
00 00 3d	ETA Lighting	ETA Lighting
00 00 3e	NSI Corporation	NSI Corporation
00 00 3f	Ad Lib	Ad Lib
00 00 40	Richmond Sound Design	Richmond Sound Design
00 00 41	Microsoft Corp	Microsoft Corp
00 00 42	Software Toolworks	Software Toolworks
00 00 43	Russ Jones / Niche	Russ Jones / Niche
00 00 44	Intone	Intone
00 00 45	Advanced Remote Tech.	Advanced Remote Tech.
00 00 47	GT Electronics	GT Electronics
00 00 49	Timeline Vista	Timeline Vista
00 00 4a	Mesa Boogie Ltd.	Mesa Boogie Ltd.
00 00 4c	Sequoia Development	Sequoia Development
00 00 4d	Studio Electronics	Studio Electronics
00 00 4e	Euphonix	Euphonix
00 00 4f	InterMIDI	InterMIDI
00 00 50	MIDI Solutions Inc.	MIDI Solutions Inc.
00 00 51	3DO Company	3DO Company
00 00 52	Lightwave Research	Lightwave Research
00 00 53	Micro-W Corporation	Micro-W Corporation
00 00 54	Spectral Synthesis	Spectral Synthesis
00 00 55	Lone Wolf	Lone Wolf
00 00 56	Studio Technologies Inc.	Studio Technologies Inc.
